 j   y              u_mean         u_rms          v_rms          w_rms          
 1   0.000000E+00  -0.968248E-13   0.306737E-13   0.894504E-16   0.119988E-14   0.544099E+00
 2   0.356959E-01   0.352277E-01   0.847369E-02   0.237272E-05   0.215102E-02   0.544050E+00
 3   0.142767E+00   0.140651E+00   0.338738E-01   0.375280E-04   0.851974E-02   0.543904E+00
 4   0.321162E+00   0.315495E+00   0.761407E-01   0.186397E-03   0.188617E-01   0.543683E+00
 5   0.570795E+00   0.558484E+00   0.135184E+00   0.573767E-03   0.327965E-01   0.543426E+00
 6   0.891549E+00   0.867854E+00   0.210885E+00   0.135486E-02   0.498418E-01   0.543177E+00
 7   0.128327E+01   0.124138E+01   0.303091E+00   0.269952E-02   0.694523E-01   0.542992E+00
 8   0.174577E+01   0.167636E+01   0.411576E+00   0.477645E-02   0.910561E-01   0.542950E+00
 9   0.227884E+01   0.216964E+01   0.535967E+00   0.773959E-02   0.114089E+00   0.543121E+00
10   0.288221E+01   0.271754E+01   0.675621E+00   0.117182E-01   0.138024E+00   0.543583E+00
11   0.355560E+01   0.331583E+01   0.829463E+00   0.168113E-01   0.162397E+00   0.544421E+00
12   0.429869E+01   0.395956E+01   0.995801E+00   0.230871E-01   0.186830E+00   0.545697E+00
13   0.511113E+01   0.464303E+01   0.117214E+01   0.305861E-01   0.211052E+00   0.547464E+00
14   0.599252E+01   0.535959E+01   0.135507E+01   0.393254E-01   0.234895E+00   0.549772E+00
15   0.694246E+01   0.610162E+01   0.154028E+01   0.493061E-01   0.258284E+00   0.552634E+00
16   0.796048E+01   0.686054E+01   0.172263E+01   0.605169E-01   0.281201E+00   0.556057E+00
17   0.904611E+01   0.762696E+01   0.189653E+01   0.729391E-01   0.303654E+00   0.560044E+00
18   0.101988E+02   0.839091E+01   0.205633E+01   0.865476E-01   0.325628E+00   0.564581E+00
19   0.114181E+02   0.914229E+01   0.219686E+01   0.101313E+00   0.347065E+00   0.569657E+00
20   0.127033E+02   0.987139E+01   0.231395E+01   0.117196E+00   0.367849E+00   0.575284E+00
21   0.140538E+02   0.105694E+02   0.240486E+01   0.134152E+00   0.387822E+00   0.581466E+00
22   0.154691E+02   0.112290E+02   0.246850E+01   0.152121E+00   0.406817E+00   0.588225E+00
23   0.169484E+02   0.118444E+02   0.250541E+01   0.171025E+00   0.424693E+00   0.595599E+00
24   0.184910E+02   0.124119E+02   0.251751E+01   0.190768E+00   0.441350E+00   0.603606E+00
25   0.200962E+02   0.129297E+02   0.250774E+01   0.211227E+00   0.456735E+00   0.612261E+00
26   0.217632E+02   0.133979E+02   0.247966E+01   0.232247E+00   0.470852E+00   0.621562E+00
27   0.234913E+02   0.138177E+02   0.243700E+01   0.253635E+00   0.483780E+00   0.631430E+00
28   0.252796E+02   0.141916E+02   0.238339E+01   0.275163E+00   0.495690E+00   0.641737E+00
29   0.271272E+02   0.145229E+02   0.232206E+01   0.296574E+00   0.506818E+00   0.652309E+00
30   0.290333E+02   0.148153E+02   0.225567E+01   0.317599E+00   0.517413E+00   0.662918E+00
31   0.309970E+02   0.150730E+02   0.218629E+01   0.337972E+00   0.527663E+00   0.673331E+00
32   0.330173E+02   0.153001E+02   0.211536E+01   0.357452E+00   0.537648E+00   0.683313E+00
33   0.350933E+02   0.155006E+02   0.204391E+01   0.375819E+00   0.547330E+00   0.692586E+00
34   0.372240E+02   0.156783E+02   0.197270E+01   0.392893E+00   0.556617E+00   0.700876E+00
35   0.394084E+02   0.158367E+02   0.190241E+01   0.408536E+00   0.565404E+00   0.707927E+00
36   0.416454E+02   0.159787E+02   0.183372E+01   0.422654E+00   0.573558E+00   0.713490E+00
37   0.439340E+02   0.161067E+02   0.176728E+01   0.435201E+00   0.580892E+00   0.717435E+00
38   0.462730E+02   0.162228E+02   0.170356E+01   0.446162E+00   0.587201E+00   0.719785E+00
39   0.486615E+02   0.163288E+02   0.164288E+01   0.455547E+00   0.592326E+00   0.720659E+00
40   0.510981E+02   0.164263E+02   0.158534E+01   0.463381E+00   0.596175E+00   0.720231E+00
41   0.535819E+02   0.165167E+02   0.153085E+01   0.469695E+00   0.598748E+00   0.718663E+00
42   0.561115E+02   0.166012E+02   0.147923E+01   0.474535E+00   0.600183E+00   0.716043E+00
43   0.586858E+02   0.166809E+02   0.143018E+01   0.477959E+00   0.600733E+00   0.712421E+00
44   0.613036E+02   0.167568E+02   0.138334E+01   0.480047E+00   0.600660E+00   0.707820E+00
45   0.639635E+02   0.168296E+02   0.133828E+01   0.480898E+00   0.600164E+00   0.702229E+00
46   0.666645E+02   0.169003E+02   0.129452E+01   0.480630E+00   0.599319E+00   0.695644E+00
47   0.694051E+02   0.169695E+02   0.125165E+01   0.479378E+00   0.598017E+00   0.688061E+00
48   0.721840E+02   0.170378E+02   0.120944E+01   0.477289E+00   0.595967E+00   0.679497E+00
49   0.750000E+02   0.171055E+02   0.116778E+01   0.474513E+00   0.592800E+00   0.670006E+00
50   0.778517E+02   0.171728E+02   0.112677E+01   0.471190E+00   0.588127E+00   0.659644E+00
51   0.807377E+02   0.172395E+02   0.108662E+01   0.467447E+00   0.581582E+00   0.648498E+00
52   0.836567E+02   0.173053E+02   0.104763E+01   0.463401E+00   0.573063E+00   0.636716E+00
53   0.866073E+02   0.173700E+02   0.101010E+01   0.459160E+00   0.562944E+00   0.624437E+00
54   0.895880E+02   0.174331E+02   0.974113E+00   0.454809E+00   0.551922E+00   0.611702E+00
55   0.925975E+02   0.174944E+02   0.939640E+00   0.450421E+00   0.540613E+00   0.598472E+00
56   0.956343E+02   0.175535E+02   0.906536E+00   0.446064E+00   0.529318E+00   0.584710E+00
57   0.986970E+02   0.176104E+02   0.874671E+00   0.441823E+00   0.518122E+00   0.570497E+00
58   0.101784E+03   0.176648E+02   0.843976E+00   0.437791E+00   0.507081E+00   0.556044E+00
59   0.104894E+03   0.177166E+02   0.814383E+00   0.434037E+00   0.496264E+00   0.541581E+00
60   0.108026E+03   0.177658E+02   0.785792E+00   0.430582E+00   0.485717E+00   0.527236E+00
61   0.111177E+03   0.178120E+02   0.758161E+00   0.427388E+00   0.475574E+00   0.512978E+00
62   0.114347E+03   0.178554E+02   0.731575E+00   0.424377E+00   0.466122E+00   0.498670E+00
63   0.117534E+03   0.178956E+02   0.706240E+00   0.421463E+00   0.457627E+00   0.484205E+00
64   0.120736E+03   0.179326E+02   0.682419E+00   0.418593E+00   0.450186E+00   0.469555E+00
65   0.123953E+03   0.179661E+02   0.660365E+00   0.415772E+00   0.443785E+00   0.454794E+00
66   0.127181E+03   0.179960E+02   0.640323E+00   0.413049E+00   0.438361E+00   0.440200E+00
67   0.130421E+03   0.180221E+02   0.622566E+00   0.410501E+00   0.433774E+00   0.426214E+00
68   0.133670E+03   0.180443E+02   0.607347E+00   0.408215E+00   0.429841E+00   0.413335E+00
69   0.136927E+03   0.180626E+02   0.594841E+00   0.406268E+00   0.426418E+00   0.402074E+00
70   0.140190E+03   0.180770E+02   0.585109E+00   0.404718E+00   0.423442E+00   0.392839E+00
71   0.143457E+03   0.180873E+02   0.578113E+00   0.403601E+00   0.420988E+00   0.385948E+00
72   0.146728E+03   0.180935E+02   0.573851E+00   0.402931E+00   0.419311E+00   0.381690E+00
73   0.150000E+03   0.180955E+02   0.572412E+00   0.402708E+00   0.418710E+00   0.380252E+00
