Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
500.0,0.1,0.07358331024243545,13.590038239721657,0.0,0.0,0.0,29.686414065,30.29225925,4745.131335968614,0.0,530.8711604055202,44.1725,Liquid
550.0,0.1,0.07296001968385628,13.70613665310274,1.4737866772475001,217.432125,2.8666708816668947,29.475733544950003,30.077279127500002,4765.356836158548,0.0,473.740430402066,46.019925,Liquid
600.0,0.1,0.0723341170479139,13.824735004888538,2.9274950196800003,433.352,5.4463821377000645,29.2749501968,29.87239816,4785.929597127533,0.0,428.77869744768475,47.8052,Liquid
650.0,0.1,0.07170553296964977,13.945925210865695,4.3626096030825,647.832375,7.786345984160226,29.08406402055,29.6776163475,4806.861000890686,0.0,392.47505821057126,49.528325,Liquid
700.0,0.1,0.07107419498673755,14.069804099597613,5.78061500324,860.946,9.923553363195422,28.9030750162,29.49293369,4828.16299675804,0.0,362.54103456684743,51.1893,Liquid
750.0,0.1,0.07044002734310413,14.196473762412545,7.1829957959375,1072.765625,11.88756802832771,28.73198318375,29.318350187500002,4849.848139884095,0.0,337.4247635978153,52.788125,Liquid
800.0,0.1,0.06980295077628296,14.32604193488868,8.571236556959999,1283.364,13.702422751343276,28.570788523199997,29.153865839999998,4871.92963316975,0.0,316.03850036032304,54.3248,Liquid
850.0,0.1,0.06916288228682424,14.458622413289785,9.9468218620925,1492.813875,15.387943697694181,28.41949103455,28.9994806475,4894.421372874755,0.0,297.5981146110308,55.799325,Liquid
900.0,0.1,0.06851973488787917,14.594335509854627,11.311236287119998,1701.188,16.9606986049135,28.278090717799998,28.855194609999998,4917.337998344458,0.0,281.52456020024994,57.2117,Liquid
950.0,0.1,0.06787341733283654,14.733308551361375,12.665964407827499,1908.559125,18.434690424683254,28.146587572949997,28.721007727499998,4940.694946307094,0.0,267.3812047205329,58.561925,Liquid
1000.0,0.1,0.06722383381861796,14.875676425985768,14.012490799999998,2115.0,19.821874470698308,28.024981599999997,28.596919999999997,4964.508510258357,0.0,254.83272337520359,59.85,Liquid
1050.0,0.1,0.06657088366192261,15.021582184164135,15.3523000394225,2320.583375,21.132550513428285,27.91327279895,28.482931427500002,4988.795905519781,0.0,243.61740166480067,61.075925,Liquid
1100.0,0.1,0.06591446094534921,15.171177699975683,16.68687670188,2525.382,22.37566455287134,27.8114611698,28.379042010000003,5013.575340638363,0.0,233.5280244766648,62.2397,Liquid
1150.0,0.1,0.06525445412990256,15.324624400493674,18.0177053631575,2729.468625,23.559044225008837,27.71954671255,28.2852517475,5038.86609588879,0.0,224.39840843127362,63.341325,Liquid
1200.0,0.1,0.06459074562990347,15.482094071647188,19.34627059904,2932.916,24.68958468491024,27.6375294272,28.20156064,5064.688609749049,0.0,216.09373016435143,64.3808,Liquid
